restaurant_name,distance_in_miles
Chester's Kitchen & Bar,0.887164035307985
The Half Barrel,0.8387561831250964
The Tap House,0.8689456367626008
Saints On 2nd,0.19820049378599744
Wild Bill's Sports Saloon - Rochester,0.5732709311835724
Newt's,0.8481936038651791
Denny's,0.547565219011261
Canadian Honker Restaurant,0.1584411046367976
Burger King,1.6330420955485005
Brothers Bar & Grill,0.9971707980765966
McDonald's,0.27261953884939993
Bleu Duck Kitchen,0.8654150776044018
The Boulder Tap House - Rochester,0.40824702273092556
Beetles Bar & Grill,0.6151565982879683
